SUMLEV,STATE,Region,Division,STNAME,NPOPCHG_2004,BIRTHS2004,DEATHS2004,INTERNATIONALMIG2004,INTERNALMIG2004,RESIDUAL2004,NATURALINC2004,NETMIG2004,RBIRTH2004,RDEATH2004,RINTERNATIONALMIG2004,RINTERNALMIG2004,RNATURALINC2004,RNETMIG2004
010,00,0,00,United States,2806837,4105045,2420471,1122263,0,0,1684574,1122263,14.046182764,8.2820963088,3.8400337165,0,5.7640864556,3.8400337165
040,01,3,6,Alabama,23513,60209,46709,4555,6579,-1121,13500,11134,13.339408282,10.348459889,1.009168143,1.4575888503,2.9909483932,2.4667569933
040,02,4,9,Alaska,9245,10272,3116,882,1462,-255,7156,2344,15.727283514,4.770854306,1.3504151149,2.2384431949,10.956429208,3.5888583098
040,04,4,8,Arizona,162095,91049,43083,29891,86579,-2341,47966,116470,16.089717462,7.6134092348,5.2821859071,15.299801735,8.4763082272,20.581987642
040,05,3,7,Arkansas,23834,38153,27583,3912,10380,-1028,10570,14292,13.93420141,10.07383633,1.4287368206,3.7909734657,3.8603650802,5.2197102864
040,06,4,9,California,385436,539075,237361,251803,-155485,-12596,301714,96318,15.121606808,6.6582195677,7.0633324843,-4.361513768,8.4633872399,2.7018187163
040,08,4,8,Colorado,53750,68608,28371,19736,-5488,-735,40237,14248,14.99646116,6.2013846721,4.3139306999,-1.199577,8.7950764883,3.1143536995
040,09,1,1,Connecticut,13085,42426,28962,13516,-12672,-1223,13464,844,12.148011259,8.2928087043,3.870091929,-3.628425934,3.8552025549,0.241665995
040,10,3,5,Delaware,12242,11446,7037,1971,6178,-316,4409,8149,13.891653357,8.5405875128,2.3921412516,7.4980459932,5.351065844,9.8901872448
040,11,3,5,District of Columbia,-3607,8383,5549,3633,-9851,-223,2834,-6218,15.076185723,9.9794530094,6.5336732354,-17.71627169,5.0967327138,-11.18259845
040,12,3,5,Florida,392061,217524,166273,93751,254029,-6970,51251,347780,12.654543284,9.6729964302,5.45400088,14.778235854,2.9815468539,20.232236734
040,13,3,5,Georgia,171280,138953,65911,33778,47984,16476,73042,81762,15.732032047,7.4623359282,3.8242900727,5.4326702247,8.2696961185,9.2569602974
040,15,4,9,Hawaii,13924,18437,9387,4999,262,-387,9050,5261,14.688940551,7.4787158948,3.9827528239,0.2087379956,7.2102246563,4.1914908195
040,16,4,8,Idaho,27029,21848,10145,2598,13418,-690,11703,16016,15.813257645,7.3428002016,1.8803937825,9.7117489508,8.4704574431,11.592142733
040,17,2,3,Illinois,62076,182878,104650,58500,-76541,1889,78228,-18041,14.421442889,8.2525180629,4.613208855,-6.035890923,6.1689248258,-1.422682068
040,18,2,3,Indiana,30268,85992,55721,9930,-5807,-4126,30271,4123,13.844215228,8.9707591023,1.5986726348,-0.934893453,4.8734561258,0.6637791816
