SUMLEV,STATE,Region,Division,STNAME,POPESTIMATE2002,POPESTIMATE2001,NPOPCHG_2002,PPOPCHG_2002,NRANK_POPEST2002,NRANK_POPEST2001,NRANK_NPCHG2002,NRANK_PPCHG2002
010,00,0,00,United States,287984799,285107923,2876876,1.0090480719,,,,
040,01,3,6,Alabama,4480139,4467461,12678,0.2837853537,23,22,34,43
040,02,4,9,Alaska,640699,632249,8450,1.3364987529,47,48,42,11
040,04,4,8,Arizona,5438159,5295929,142230,2.6856477872,20,20,5,2
040,05,3,7,Arkansas,2706606,2691581,15025,0.5582221007,33,33,33,32
040,06,4,9,California,34988088,34526660,461428,1.3364397251,1,1,1,12
040,08,4,8,Colorado,4498407,4427016,71391,1.6126212329,22,24,11,8
040,09,1,1,Connecticut,3458382,3432463,25919,0.7551137478,29,29,25,27
040,10,3,5,Delaware,805767,795417,10350,1.301204274,45,45,38,14
040,11,3,5,District of Columbia,564624,569321,-4697,-0.825017872,50,50,51,51
040,12,3,5,Florida,16677860,16350565,327295,2.0017351082,4,4,3,4
040,13,3,5,Georgia,8581731,8415600,166131,1.9740838443,9,10,4,5
040,15,4,9,Hawaii,1234401,1221855,12546,1.0267994156,42,42,35,20
040,16,4,8,Idaho,1343973,1321162,22811,1.7265861416,39,39,26,7
040,17,2,3,Illinois,12586839,12518506,68333,0.5458558713,5,5,13,33
040,18,2,3,Indiana,6154739,6125677,29062,0.4744291937,14,14,23,35
040,19,2,4,Iowa,2934340,2931272,3068,0.1046644597,30,30,48,49
040,20,2,4,Kansas,2712454,2700879,11575,0.4285641823,32,32,36,38
040,21,3,6,Kentucky,4088510,4066908,21602,0.5311651997,26,25,28,34
040,22,3,7,Louisiana,4475003,4465258,9745,0.218240469,24,23,40,46
040,23,1,1,Maine,1296978,1286350,10628,0.8262137054,40,40,37,24
040,24,3,5,Maryland,5442268,5379591,62677,1.1650885727,18,19,14,18
040,25,1,1,Massachusetts,6411568,6394750,16818,0.2629969897,13,13,31,44
040,26,2,3,Michigan,10039379,10002663,36716,0.3670622513,8,8,21,40
040,27,2,4,Minnesota,5023526,4984621,38905,0.7805006639,21,21,19,25
040,28,3,6,Mississippi,2866349,2857577,8772,0.3069733554,31,31,41,41
040,29,2,4,Missouri,5681045,5643326,37719,0.6683824397,17,17,20,28
040,30,4,8,Montana,910395,906098,4297,0.4742312642,44,44,45,36
040,31,2,4,Nebraska,1726753,1718965,7788,0.4530633259,38,38,43,37
040,32,4,8,Nevada,2167867,2094827,73040,3.4866841033,35,35,10,1
040,33,1,1,New Hampshire,1274666,1258546,16120,1.2808431317,41,41,32,15
040,34,1,2,New Jersey,8576089,8504864,71225,0.8374619512,10,9,12,23
040,35,4,8,New Mexico,1855400,1832608,22792,1.2436920498,36,36,27,16
040,36,1,2,New York,19164755,19091210,73545,0.3852296423,3,3,9,39
040,37,3,5,North Carolina,8312755,8198279,114476,1.396341842,11,11,6,10
040,38,2,4,North Dakota,633571,636239,-2668,-0.419339273,48,47,50,50
040,39,2,3,Ohio,11404651,11384992,19659,0.1726746931,7,7,30,47
040,40,3,7,Oklahoma,3487076,3465778,21298,0.6145229152,28,28,29,30
040,41,4,9,Oregon,3522342,3473484,48858,1.4065992531,27,27,16,9
040,42,1,2,Pennsylvania,12324415,12296063,28352,0.2305778687,6,6,24,45
040,44,1,1,Rhode Island,1068550,1058365,10185,0.9623334105,43,43,39,22
040,45,3,5,South Carolina,4102568,4059615,42953,1.0580559979,25,26,18,19
040,46,2,4,South Dakota,760368,758068,2300,0.303402861,46,46,49,42
040,47,3,6,Tennessee,5790312,5746831,43481,0.7566082942,16,16,17,26
040,48,3,7,Texas,21722394,21333606,388788,1.8224204572,2,2,2,6
040,49,4,8,Utah,2336673,2287736,48937,2.1391017145,34,34,15,3
040,50,1,1,Vermont,616274,612824,3450,0.5629675078,49,49,46,31
040,51,3,5,Virginia,7286061,7191941,94120,1.3086870429,12,12,7,13
040,53,4,9,Washington,6066319,5992412,73907,1.2333431012,15,15,8,17
040,54,3,5,West Virginia,1804529,1801438,3091,0.1715851448,37,37,47,48
040,55,2,3,Wisconsin,5439137,5404432,34705,0.6421581398,19,18,22,29
040,56,4,8,Wyoming,499045,494045,5000,1.0120535579,51,51,44,21
040,72,X,X,Puerto Rico,3859606,3839190,20416,0.5317788388,,,,
