SUMLEV,STATE,Region,Division,STNAME,NPOPCHG_2001,BIRTHS2001,DEATHS2001,INTERNATIONALMIG2001,INTERNALMIG2001,RESIDUAL2001,NATURALINC2001,NETMIG2001,RBIRTH2001,RDEATH2001,RINTERNATIONALMIG2001,RINTERNALMIG2001,RNATURALINC2001,RNETMIG2001
010,00,0,00,United States,2914446,4047314,2419276,1286408,0,0,1628038,1286408,14.268655075,8.5290676173,4.5351835902,0,5.7395874574,4.5351835902
040,01,3,6,Alabama,15122,63067,45608,5188,-6429,-1096,17459,-1241,14.14090002,10.226238256,1.1632547815,-1.441512142,3.9146617637,-0.27825736
040,02,4,9,Alaska,4749,10018,3198,952,-2753,-270,6820,-1801,15.90475563,5.077201887,1.511412194,-4.370711943,10.827553743,-2.859299749
040,04,4,8,Arizona,129936,84911,40648,34293,53237,-1857,44263,87530,16.232390186,7.7706562905,6.5557743596,10.177288647,8.4617338955,16.733063007
040,05,3,7,Arkansas,13070,37437,28633,4472,906,-1112,8804,5378,13.942777889,10.663876894,1.6655208142,0.3374243868,3.2789009946,2.0029452009
040,06,4,9,California,523904,525203,230566,288984,-46576,-13141,294637,242408,15.327811928,6.728964391,8.4338672899,-1.359299487,8.5988475372,7.0745678031
040,08,4,8,Colorado,100090,66236,27792,22631,39430,-415,38444,62061,15.132839582,6.3495965589,5.1704706291,9.0085129648,8.7832430235,14.178983594
040,09,1,1,Connecticut,20200,42693,30434,15442,-5853,-1648,12259,9589,12.474714108,8.8926861353,4.5120871164,-1.710221855,3.5820279731,2.8018652609
040,10,3,5,Delaware,8976,10961,7113,2262,3251,-385,3848,5513,13.858386783,8.9932218948,2.8599280087,4.1103563025,4.8651648884,6.9702843112
040,11,3,5,District of Columbia,-1723,7887,5927,4184,-7624,-243,1960,-3440,13.832413306,10.394917417,7.3380014294,-13.37115748,3.4374958895,-6.033156051
040,12,3,5,Florida,301678,207399,165107,107407,155631,-3652,42292,263038,12.802623946,10.191962506,6.6301738684,9.6070143409,2.6106614396,16.237188209
040,13,3,5,Georgia,185445,135553,65084,38712,50768,25496,70469,89480,16.286795042,7.819891618,4.6512759559,6.0998134359,8.4669034237,10.751089392
040,15,4,9,Hawaii,9730,18020,8530,5577,-4889,-448,9490,688,14.807023887,7.0090962128,4.5826177701,-4.017288556,7.797927674,0.5653292139
040,16,4,8,Idaho,21482,20450,9801,2950,7486,397,10649,10436,15.605671765,7.4792757442,2.2511849245,5.7126679136,8.1263960208,7.9638528381
040,17,2,3,Illinois,78768,185443,106465,67188,-68508,1110,78978,-1320,14.860260201,8.5314495683,5.3840326267,-5.489809299,6.3288106327,-0.105776672
040,18,2,3,Indiana,33722,87363,55830,11431,-7040,-2202,31533,4391,14.301134622,9.139250552,1.8712300387,-1.152432812,5.1618840705,0.7187972268
040,19,2,4,Iowa,2812,37597,27768,6047,-12316,-748,9829,-6269,12.832327485,9.4775665508,2.0639169163,-4.203605216,3.3547609345,-2.1396883
040,20,2,4,Kansas,8208,38900,24870,7663,-13548,63,14030,-5885,14.424636835,9.2221264288,2.8415422125,-5.023778402,5.2025104059,-2.18223619
040,21,3,6,Kentucky,17903,54990,40060,5322,-591,-1758,14930,4731,13.551155612,9.8719638813,1.3114975481,-0.145639807,3.6791917311,1.1658577415
040,22,3,7,Louisiana,-4237,67662,42270,3901,-31826,-1704,25392,-27925,15.145802016,9.4619291658,0.8732194387,-7.124091735,5.6838728502,-6.250872296
040,23,1,1,Maine,8953,13548,12409,994,7347,-527,1139,8341,10.56890559,9.6803623759,0.7754275285,5.7314547808,0.8885432143,6.5068823094
040,24,3,5,Maryland,68048,74719,44164,21963,10353,5177,30555,32316,13.977750162,8.2617989822,4.1086380547,1.9367449702,5.7159511797,6.0453830249
040,25,1,1,Massachusetts,32618,82185,57337,33292,-22892,-2630,24848,10400,12.88480994,8.9891871697,5.219457231,-3.588964764,3.8956227705,1.6304924667
040,26,2,3,Michigan,46552,134964,88064,25358,-21988,-3718,46900,3370,13.524277593,8.8245901276,2.5410378413,-2.203341748,4.6996874658,0.337696093
040,27,2,4,Minnesota,50865,67157,38085,14622,7423,-252,29072,22045,13.541933322,7.6796838838,2.9484662662,1.4968174733,5.8622494386,4.4452837395
040,28,3,6,Mississippi,8824,44285,28731,1985,-7508,-1207,15554,-5523,15.521359613,10.069869776,0.6957186142,-2.631463655,5.4514898367,-1.935745041
040,29,2,4,Missouri,37061,75479,54950,8594,2302,5636,20529,10896,13.418976743,9.7692440552,1.5278777691,0.4092593233,3.6497326881,1.9371370924
040,30,4,8,Montana,2588,10800,8259,390,-39,-304,2541,351,11.936286754,9.1279437315,0.4310325772,-0.043103258,2.8083430224,0.3879293195
040,31,2,4,Nebraska,5704,24511,15088,4453,-7939,-233,9423,-3486,14.282858996,8.7919618347,2.5948174741,-4.626152241,5.4908971612,-2.031334766
040,32,4,8,Nevada,76613,30817,15643,13493,47751,195,15174,61244,14.9850196,7.6065373528,6.5610821774,23.219316316,7.3784822471,29.780398493
040,33,1,1,New Hampshire,17992,14332,9949,2286,11793,-470,4383,14079,11.469729102,7.9620663439,1.8294586051,9.4377976071,3.5076627586,11.267256212
040,34,1,2,New Jersey,71160,113152,72519,59398,-25310,-3561,40633,34088,13.360279334,8.5625892342,7.013343749,-2.988446249,4.7976900999,4.0248975002
040,35,4,8,New Mexico,11082,27065,13421,5619,-7420,-761,13644,-1801,14.813359335,7.3456528961,3.0754208795,-4.061153751,7.4677064388,-0.985732871
040,36,1,2,New York,92321,260880,157005,136744,-163498,15200,103875,-26754,13.698047884,8.243874609,7.1800285948,-8.584803101,5.4541732748,-1.404774506
040,37,3,5,North Carolina,119850,120443,72677,31214,41047,-177,47766,72261,14.799429958,8.9301841625,3.8354192998,5.0436488754,5.8692457959,8.8790681752
040,38,2,4,North Dakota,-4914,7614,5921,687,-7057,-237,1693,-6370,11.921164372,9.270451044,1.0756290943,-11.04907499,2.6507133284,-9.973445896
040,39,2,3,Ohio,21183,154137,110196,15418,-36911,-1265,43941,-21493,13.551219688,9.6880710328,1.3555000107,-3.245094104,3.8631486556,-1.889594093
040,40,3,7,Oklahoma,11457,49373,35156,7214,-8566,-1408,14217,-1352,14.269449035,10.160548281,2.0849412703,-2.475687125,4.1089007542,-0.390745855
040,41,4,9,Oregon,42414,45041,30304,14844,14408,-1575,14737,29252,13.046751463,8.7779746527,4.2997708469,4.173477389,4.2687768102,8.4732482359
040,42,1,2,Pennsylvania,9749,145228,131844,21060,-20280,-4415,13384,780,11.81561897,10.726708813,1.7134225872,-1.649962491,1.0889101571,0.0634600958
040,44,1,1,Rhode Island,7623,12384,9876,3831,1776,-492,2508,5607,11.743358682,9.3651009645,3.6328171117,1.6841250823,2.3782577176,5.316942194
040,45,3,5,South Carolina,36055,57013,37516,6995,11428,-1865,19497,18423,14.106585593,9.2824911003,1.7307555509,2.8276017778,4.8240944926,4.5583573286
040,46,2,4,South Dakota,2327,10418,7039,784,-1492,-344,3379,-708,13.763955691,9.29972011,1.035797779,-1.97118659,4.4642355806,-0.935388811
040,47,3,6,Tennessee,43779,79441,55858,10049,10733,-586,23583,20782,13.876298998,9.7569555951,1.7553017791,1.8747789825,4.1193434029,3.6300807615
040,48,3,7,Texas,384252,363212,149914,134976,42767,-6789,213298,177743,17.180064972,7.0909888995,6.3844158498,2.0228952751,10.089076072,8.4073111249
040,49,4,8,Utah,44600,47053,12482,10253,-9431,9207,34571,822,20.769953333,5.5097561794,4.5258396176,-4.162995556,15.260197154,0.3628440618
040,50,1,1,Vermont,2887,6450,5200,911,1018,-292,1250,1929,10.549894869,8.5053415999,1.4900704226,1.6650841824,2.0445532692,3.155154605
040,51,3,5,Virginia,87863,99298,56740,26787,13631,4887,42558,40418,13.8916995,7.9378741732,3.7474768325,1.9069644493,5.9538253272,5.6544412819
040,53,4,9,Washington,81200,79626,44544,26879,19335,-96,35082,46214,13.378446765,7.4841073609,4.5161036673,3.2485905133,5.8943394045,7.7646941805
040,54,3,5,West Virginia,-6004,20421,21455,764,-5012,-722,-1034,-4248,11.317084525,11.890115493,0.4234000576,-2.777593048,-0.573030968,-2.354192991
040,55,2,3,Wisconsin,30003,68338,47209,9512,1913,-2551,21129,11425,12.680003945,8.7595526095,1.7649360169,0.354954016,3.9204513353,2.1198900329
040,56,4,8,Wyoming,-94,6140,4017,433,-2438,-212,2123,-2005,12.426835488,8.1300648462,0.8763550108,-4.934303733,4.2967706419,-4.057948722
