SUMLEV,STATE,Region,Division,STNAME,POPESTIMATE2004,POPESTIMATE2003,NPOPCHG_2004,PPOPCHG_2004,NRANK_POPEST2004,NRANK_POPEST2003,NRANK_NPCHG2004,NRANK_PPCHG2004
010,00,0,00,United States,293656842,290850005,2806837,0.9650462272,,,,
040,01,3,6,Alabama,4525375,4501862,23513,0.522294997,23,23,29,34
040,02,4,9,Alaska,657755,648510,9245,1.4255755501,47,47,41,9
040,04,4,8,Arizona,5739879,5577784,162095,2.9060824155,18,18,5,2
040,05,3,7,Arkansas,2750000,2726166,23834,0.8742681113,32,32,27,22
040,06,4,9,California,35842038,35456602,385436,1.0870641242,1,1,2,17
040,08,4,8,Colorado,4601821,4548071,53750,1.1818197209,22,22,11,15
040,09,1,1,Connecticut,3498966,3485881,13085,0.375371391,29,29,35,41
040,10,3,5,Delaware,830069,817827,12242,1.4968935973,45,45,36,8
040,11,3,5,District of Columbia,554239,557846,-3607,-0.646594221,50,50,50,51
040,12,3,5,Florida,17385430,16993369,392061,2.3071410972,4,4,1,3
040,13,3,5,Georgia,8918129,8746849,171280,1.9581908868,9,9,4,5
040,15,4,9,Hawaii,1262124,1248200,13924,1.115526358,42,42,34,16
040,16,4,8,Idaho,1395140,1368111,27029,1.9756437891,39,39,24,4
040,17,2,3,Illinois,12712016,12649940,62076,0.4907216951,5,5,10,37
040,18,2,3,Indiana,6226537,6196269,30268,0.4884875076,14,14,21,38
040,19,2,4,Iowa,2952904,2941362,11542,0.3924032472,30,30,38,39
040,20,2,4,Kansas,2733697,2724224,9473,0.3477320514,33,33,40,43
040,21,3,6,Kentucky,4141835,4116780,25055,0.6086067266,26,26,26,29
040,22,3,7,Louisiana,4506685,4490380,16305,0.3631095809,24,24,33,42
040,23,1,1,Maine,1314985,1308245,6740,0.5151940195,40,40,43,35
040,24,3,5,Maryland,5561332,5512477,48855,0.8862622012,19,19,15,20
040,25,1,1,Massachusetts,6407382,6417565,-10183,-0.15867389,13,13,51,50
040,26,2,3,Michigan,10104206,10078146,26060,0.2585793062,8,8,25,46
040,27,2,4,Minnesota,5096546,5061662,34884,0.6891807474,21,21,19,28
040,28,3,6,Mississippi,2900768,2880793,19975,0.6933854671,31,31,30,27
040,29,2,4,Missouri,5759532,5718717,40815,0.7137090365,17,17,18,26
040,30,4,8,Montana,926920,917885,9035,0.9843281021,44,44,42,18
040,31,2,4,Nebraska,1747704,1738013,9691,0.557590766,38,38,39,31
040,32,4,8,Nevada,2332898,2241700,91198,4.0682517732,35,35,8,1
040,33,1,1,New Hampshire,1299169,1287594,11575,0.8989634932,41,41,37,19
040,34,1,2,New Jersey,8685166,8640028,45138,0.5224288625,10,10,16,33
040,35,4,8,New Mexico,1903006,1879252,23754,1.2640135543,36,36,28,12
040,36,1,2,New York,19280727,19228031,52696,0.2740582226,3,3,12,45
040,37,3,5,North Carolina,8540468,8422375,118093,1.4021341961,11,11,6,10
040,38,2,4,North Dakota,636308,633051,3257,0.5144925132,48,48,47,36
040,39,2,3,Ohio,11450143,11431748,18395,0.1609115246,7,7,32,48
040,40,3,7,Oklahoma,3523546,3504917,18629,0.5315104466,28,28,31,32
040,41,4,9,Oregon,3591363,3562681,28682,0.8050678688,27,27,23,23
040,42,1,2,Pennsylvania,12394471,12364930,29541,0.2389095612,6,6,22,47
040,44,1,1,Rhode Island,1079916,1075729,4187,0.3892244236,43,43,45,40
040,45,3,5,South Carolina,4197892,4146753,51139,1.2332299512,25,25,14,14
040,46,2,4,South Dakota,770621,764599,6022,0.7876023903,46,46,44,25
040,47,3,6,Tennessee,5893298,5841585,51713,0.8852563131,16,16,13,21
040,48,3,7,Texas,22471549,22099136,372413,1.6851925795,2,2,3,7
040,49,4,8,Utah,2420708,2378696,42012,1.7661777714,34,34,17,6
040,50,1,1,Vermont,621233,619092,2141,0.3458290529,49,49,49,44
040,51,3,5,Virginia,7481332,7383387,97945,1.3265592065,12,12,7,11
040,53,4,9,Washington,6207046,6131131,75915,1.2381891693,15,15,9,13
040,54,3,5,West Virginia,1812548,1810347,2201,0.1215789017,37,37,48,49
040,55,2,3,Wisconsin,5503533,5471792,31741,0.5800841845,20,20,20,30
040,56,4,8,Wyoming,505887,501915,3972,0.7913690565,51,51,46,24
040,72,X,X,Puerto Rico,3895107,3877881,17226,0.4442116713,,,,
